Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-2,18B-2 ml,18B-2,
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-3,18B-3 ml,18B-3,
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-4,18B-4 ml,18B-4,
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-5,18B-5 ml,18B-5,
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-6,18B-6 ml,18B-6,
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-8,18B-8 ml,18B-8,
Ceiling below roof joists,,,,,Metal,Light,Board insulation,R-10,18B-10 ml,18B-10,
Ceiling below roof joists,,,,,Metal,White,None,,18C-0 mw,18C-0,
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-11,18C-11 mw,18C-11,
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-13,18C-13 mw,18C-13,
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-15,18C-15 mw,18C-15,
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-19,18C-19 mw,18C-19,
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-21,18C-21 mw,18C-21,
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-30,18C-30 mw,18C-30,
Ceiling below roof joists,,,,,Metal,White,Blanket or loose fill,R-38,18C-38 mw,18C-38,
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-2,18C-2 mw,18C-2,
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-3,18C-3 mw,18C-3,
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-4,18C-4 mw,18C-4,
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-5,18C-5 mw,18C-5,
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-6,18C-6 mw,18C-6,
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-8,18C-8 mw,18C-8,
Ceiling below roof joists,,,,,Metal,White,Board insulation,R-10,18C-10 mw,18C-10,
Ceiling below roof joists,,,,,Tar and gravel,Dark,None,,18A-0 xd,18A-0,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-11,18A-11 xd,18A-11,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-13,18A-13 xd,18A-13,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-15,18A-15 xd,18A-15,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-19,18A-19 xd,18A-19,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-21,18A-21 xd,18A-21,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-30,18A-30 xd,18A-30,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Blanket or loose fill,R-38,18A-38 xd,18A-38,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-2,18A-2 xd,18A-2,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-3,18A-3 xd,18A-3,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-4,18A-4 xd,18A-4,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-5,18A-5 xd,18A-5,
Ceiling below roof joists,,,,,Tar and gravel,Dark,Board insulation,R-6,18A-6 xd,18A-6,
