Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-44,16F-44 tw,16F-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-50,16F-50 tw,16F-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Tile,White,,R-56,16F-56 tw,16F-56,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,None,16C-0 tl,16C-0 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-7,16C-7 tl,16C-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-11,16C-11 tl,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-13,16C-13 tl,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-15,16C-15 tl,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-19,16C-19 tl,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-21,16C-21 tl,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-25,16C-25 tl,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-28,16C-28 tl,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-30,16C-30 tl,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-38,16C-38 tl,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-44,16C-44 tl,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-50,16C-50 tl,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,No,No,Wood shakes,Light,,R-56,16C-56 tl,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,None,16CR-0 ad,16C-0 ,"No CR defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-7,16CR-7 ad,16C-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-11,16CR-11 ad,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-13,16CR-13 ad,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-15,16CR-15 ad,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-19,16CR-19 ad,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-21,16CR-21 ad,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-25,16CR-25 ad,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-28,16CR-28 ad,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-30,16CR-30 ad,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-38,16CR-38 ad,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-44,16CR-44 ad,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-50,16CR-50 ad,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Dark,,R-56,16CR-56 ad,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,None,16DR-0 al,16D-0 ,"No DR defined in textbook, substituting D"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-7,16DR-7 al,16D-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-11,16DR-11 al,16D-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-13,16DR-13 al,16D-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-15,16DR-15 al,16D-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-19,16DR-19 al,16D-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-21,16DR-21 al,16D-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-25,16DR-25 al,16D-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-28,16DR-28 al,16D-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-30,16DR-30 al,16D-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-38,16DR-38 al,16D-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-44,16DR-44 al,16D-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-50,16DR-50 al,16D-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Asphalt shingles,Light,,R-56,16DR-56 al,16D-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,None,16CR-0 zd,16C-0 ,"No CR defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-7,16CR-7 zd,16C-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-11,16CR-11 zd,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-13,16CR-13 zd,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-15,16CR-15 zd,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-19,16CR-19 zd,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-21,16CR-21 zd,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-25,16CR-25 zd,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-28,16CR-28 zd,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-30,16CR-30 zd,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-38,16CR-38 zd,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-44,16CR-44 zd,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-50,16CR-50 zd,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Dark,,R-56,16CR-56 zd,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,None,16DR-0 zl,16D-0 ,"No DR defined in textbook, substituting D"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-7,16DR-7 zl,16D-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-11,16DR-11 zl,16D-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-13,16DR-13 zl,16D-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-15,16DR-15 zl,16D-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-19,16DR-19 zl,16D-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-21,16DR-21 zl,16D-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-25,16DR-25 zl,16D-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-28,16DR-28 zl,16D-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-30,16DR-30 zl,16D-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-38,16DR-38 zl,16D-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-44,16DR-44 zl,16D-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-50,16DR-50 zl,16D-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,Light,,R-56,16DR-56 zl,16D-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,None,16FR-0 zw,16F-0 ,"No FR defined in textbook, substituting F"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-7,16FR-7 zw,16F-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-11,16FR-11 zw,16F-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-13,16FR-13 zw,16F-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-15,16FR-15 zw,16F-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-19,16FR-19 zw,16F-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-21,16FR-21 zw,16F-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-25,16FR-25 zw,16F-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-28,16FR-28 zw,16F-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-30,16FR-30 zw,16F-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-38,16FR-38 zw,16F-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-44,16FR-44 zw,16F-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-50,16FR-50 zw,16F-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Membrane,White,,R-56,16FR-56 zw,16F-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,None,16CR-0 md,16C-0 ,"No CR defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-7,16CR-7 md,16C-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-11,16CR-11 md,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-13,16CR-13 md,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-15,16CR-15 md,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-19,16CR-19 md,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-21,16CR-21 md,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-25,16CR-25 md,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-28,16CR-28 md,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-30,16CR-30 md,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-38,16CR-38 md,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-44,16CR-44 md,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-50,16CR-50 md,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Dark,,R-56,16CR-56 md,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,None,16DR-0 ml,16D-0 ,"No DR defined in textbook, substituting D"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-7,16DR-7 ml,16D-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-11,16DR-11 ml,16D-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-13,16DR-13 ml,16D-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-15,16DR-15 ml,16D-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-19,16DR-19 ml,16D-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-21,16DR-21 ml,16D-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-25,16DR-25 ml,16D-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-28,16DR-28 ml,16D-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-30,16DR-30 ml,16D-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-38,16DR-38 ml,16D-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-44,16DR-44 ml,16D-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-50,16DR-50 ml,16D-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,Light,,R-56,16DR-56 ml,16D-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,None,16FR-0 mw,16F-0 ,"No FR defined in textbook, substituting F"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-7,16FR-7 mw,16F-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-11,16FR-11 mw,16F-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-13,16FR-13 mw,16F-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-15,16FR-15 mw,16F-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-19,16FR-19 mw,16F-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-21,16FR-21 mw,16F-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-25,16FR-25 mw,16F-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-28,16FR-28 mw,16F-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-30,16FR-30 mw,16F-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-38,16FR-38 mw,16F-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-44,16FR-44 mw,16F-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-50,16FR-50 mw,16F-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Metal,White,,R-56,16FR-56 mw,16F-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,None,16CR-0 xd,16C-0 ,"No CR defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-7,16CR-7 xd,16C-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-11,16CR-11 xd,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-13,16CR-13 xd,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-15,16CR-15 xd,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-19,16CR-19 xd,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-21,16CR-21 xd,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-25,16CR-25 xd,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-28,16CR-28 xd,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-30,16CR-30 xd,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-38,16CR-38 xd,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-44,16CR-44 xd,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-50,16CR-50 xd,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Dark,,R-56,16CR-56 xd,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,None,16DR-0 xl,16D-0 ,"No DR defined in textbook, substituting D"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-7,16DR-7 xl,16D-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-11,16DR-11 xl,16D-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-13,16DR-13 xl,16D-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-15,16DR-15 xl,16D-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-19,16DR-19 xl,16D-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-21,16DR-21 xl,16D-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-25,16DR-25 xl,16D-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-28,16DR-28 xl,16D-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-30,16DR-30 xl,16D-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-38,16DR-38 xl,16D-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-44,16DR-44 xl,16D-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-50,16DR-50 xl,16D-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tar and gravel,Light,,R-56,16DR-56 xl,16D-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,None,16ER-0 td,16E-0 ,"No ER defined in textbook, substituting E"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-7,16ER-7 td,16E-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-11,16ER-11 td,16E-11 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-13,16ER-13 td,16E-13 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-15,16ER-15 td,16E-15 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-19,16ER-19 td,16E-19 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-21,16ER-21 td,16E-21 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-25,16ER-25 td,16E-25 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-28,16ER-28 td,16E-28 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-30,16ER-30 td,16E-30 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-38,16ER-38 td,16E-38 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-44,16ER-44 td,16E-44 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-50,16ER-50 td,16E-50 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Dark,,R-56,16ER-56 td,16E-56 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,None,16FR-0 tl,16F-0 ,"No FR defined in textbook, substituting F"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-7,16FR-7 tl,16F-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-11,16FR-11 tl,16F-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-13,16FR-13 tl,16F-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-15,16FR-15 tl,16F-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-19,16FR-19 tl,16F-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-21,16FR-21 tl,16F-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-25,16FR-25 tl,16F-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-28,16FR-28 tl,16F-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-30,16FR-30 tl,16F-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-38,16FR-38 tl,16F-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-44,16FR-44 tl,16F-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-50,16FR-50 tl,16F-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,Light,,R-56,16FR-56 tl,16F-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,None,16FR-0 tw,16F-0 ,"No FR defined in textbook, substituting F"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-7,16FR-7 tw,16F-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-11,16FR-11 tw,16F-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-13,16FR-13 tw,16F-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-15,16FR-15 tw,16F-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-19,16FR-19 tw,16F-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-21,16FR-21 tw,16F-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-25,16FR-25 tw,16F-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-28,16FR-28 tw,16F-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-30,16FR-30 tw,16F-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-38,16FR-38 tw,16F-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-44,16FR-44 tw,16F-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-50,16FR-50 tw,16F-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Tile,White,,R-56,16FR-56 tw,16F-56,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,None,16CR-0 ww,16C-0 ,"No CR defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-7,16CR-7 ww,16C-7 ,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-11,16CR-11 ww,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-13,16CR-13 ww,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-15,16CR-15 ww,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-19,16CR-19 ww,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-21,16CR-21 ww,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-25,16CR-25 ww,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-28,16CR-28 ww,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-30,16CR-30 ww,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-38,16CR-38 ww,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-44,16CR-44 ww,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-50,16CR-50 ww,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,No,Yes,Wood shakes,White,,R-56,16CR-56 ww,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,None,16CF-0 ad,16C-0,"No CF defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-7,16CF-7 ad,16C-7,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-11,16CF-11 ad,16C-11,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-13,16CF-13 ad,16C-13,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-15,16CF-15 ad,16C-15,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-19,16CF-19 ad,16C-19,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-21,16CF-21 ad,16C-21,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-25,16CF-25 ad,16C-25,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-28,16CF-28 ad,16C-28,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-30,16CF-30 ad,16C-30,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-38,16CF-38 ad,16C-38,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-44,16CF-44 ad,16C-44,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-50,16CF-50 ad,16C-50,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Dark,,R-56,16CF-56 ad,16C-56,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,None,16DF-0 al,16D-0,"No DF defined in textbook, substituting C"
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-7,16DF-7 al,16D-7,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-11,16DF-11 al,16D-11,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-13,16DF-13 al,16D-13,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-15,16DF-15 al,16D-15,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-19,16DF-19 al,16D-19,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-21,16DF-21 al,16D-21,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-25,16DF-25 al,16D-25,
Ceiling under attic or attic knee wall,,FHA vented,Yes,,Asphalt shingles,Light,,R-28,16DF-28 al,16D-28,
